Category,City,Country,Customer ID,Customer Name,Discount,Market,Order Date,Order ID,Order Priority,Product ID,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,Shipping Cost,State,Sub-Category,Year,Market2,weeknum,day_for_shipping,shipping_date_count,order_date_count,planning_day_for_shipping,planning_day_for_shippin_,late_risk,on_time,shipping_benefit
Office Supplies,Los Angeles,United States,LS-172304,Lycoris Saunders,0.0,US,2011-01-07,CA-2011-130813,High,OFF-PA-10002005,Xerox 225,9.3312,3,West,19,Consumer,2011-01-09,Second Class,4.37,California,Paper,2011,North America,2,2,17,25,2,2,0,1,-4.37
Office Supplies,Los Angeles,United States,MV-174854,Mark Van Huff,0.0,US,2011-01-21,CA-2011-148614,Medium,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",9.2928,2,West,19,Consumer,2011-01-26,Standard Class,0.94,California,Paper,2011,North America,4,5,23,30,4,4,1,0,-0.94
Office Supplies,Los Angeles,United States,CS-121304,Chad Sievert,0.0,US,2011-08-05,CA-2011-118962,Medium,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",9.8418,3,West,21,Consumer,2011-08-09,Standard Class,1.81,California,Paper,2011,North America,32,4,38,37,4,4,0,1,-1.81
Office Supplies,Los Angeles,United States,CS-121304,Chad Sievert,0.0,US,2011-08-05,CA-2011-118962,Medium,OFF-PA-10001144,Xerox 1913,53.2608,2,West,111,Consumer,2011-08-09,Standard Class,4.59,California,Paper,2011,North America,32,4,38,37,4,4,0,1,-4.59
Office Supplies,Los Angeles,United States,AP-109154,Arthur Prichep,0.0,US,2011-09-29,CA-2011-146969,High,OFF-PA-10002105,Xerox 223,3.1104,1,West,6,Consumer,2011-10-03,Standard Class,1.32,California,Paper,2011,North America,40,4,44,38,4,4,0,1,-1.32
Office Supplies,Los Angeles,United States,JF-154904,Jeremy Farry,0.0,US,2011-10-19,CA-2011-117317,Critical,OFF-PA-10004519,Spiral Phone Message Books with Labels by Adams,6.5856,3,West,13,Consumer,2011-10-19,Same Day,2.39,California,Paper,2011,North America,43,0,16,39,0,0,0,1,-2.39
Office Supplies,Los Angeles,United States,WB-218504,William Brown,0.0,US,2011-11-04,CA-2011-125829,Medium,OFF-PA-10000223,Xerox 2000,9.3312,3,West,19,Consumer,2011-11-11,Standard Class,1.15,California,Paper,2011,North America,45,7,29,60,4,4,1,0,-1.15
Office Supplies,Los Angeles,United States,JA-159704,Joseph Airdo,0.0,US,2011-11-12,CA-2011-151295,High,OFF-PA-10001947,Xerox 1974,5.8604,2,West,12,Consumer,2011-11-16,Standard Class,0.92,California,Paper,2011,North America,46,4,43,21,4,4,0,1,-0.92
Office Supplies,Los Angeles,United States,SP-209204,Susan Pistek,0.0,US,2011-11-22,CA-2011-135090,High,OFF-PA-10002245,Xerox 1895,24.219,9,West,54,Consumer,2011-11-26,Standard Class,6.98,California,Paper,2011,North America,48,4,47,45,4,4,0,1,-6.98
Office Supplies,Los Angeles,United States,RL-196154,Rob Lucas,0.0,US,2011-12-05,CA-2011-133830,Medium,OFF-PA-10001363,Xerox 1933,23.0864,4,West,49,Consumer,2011-12-10,Standard Class,1.99,California,Paper,2011,North America,50,5,39,42,4,4,1,0,-1.99
Office Supplies,Los Angeles,United States,KD-163454,Katherine Ducich,0.0,US,2011-12-13,CA-2011-113579,High,OFF-PA-10001457,White GlueTop Scratch Pads,41.5104,6,West,90,Consumer,2011-12-15,Second Class,8.53,California,Paper,2011,North America,51,2,30,59,2,2,0,1,-8.53
Office Supplies,Los Angeles,United States,JM-161954,Justin MacKendrick,0.0,US,2012-02-15,CA-2012-116092,Medium,OFF-PA-10004285,Xerox 1959,6.4128,2,West,13,Consumer,2012-02-18,Second Class,1.0,California,Paper,2012,North America,7,3,19,34,2,2,1,0,-1.0
Office Supplies,Los Angeles,United States,JM-161954,Justin MacKendrick,0.0,US,2012-02-15,CA-2012-116092,Medium,OFF-PA-10000477,Xerox 22,9.3312,3,West,19,Consumer,2012-02-18,Second Class,0.06,California,Paper,2012,North America,7,3,19,34,2,2,1,0,-0.06
Office Supplies,Los Angeles,United States,RD-195854,Rob Dowd,0.0,US,2012-02-16,CA-2012-121776,High,OFF-PA-10001970,Xerox 1881,17.3148,3,West,37,Consumer,2012-02-21,Standard Class,4.04,California,Paper,2012,North America,7,5,19,13,4,4,1,0,-4.04
Office Supplies,Los Angeles,United States,AB-101654,Alan Barnes,0.0,US,2012-03-28,CA-2012-131534,Medium,OFF-PA-10000743,Xerox 1977,16.032,5,West,33,Consumer,2012-04-02,Standard Class,2.25,California,Paper,2012,North America,13,5,16,20,4,4,1,0,-2.25
Office Supplies,Los Angeles,United States,AR-105404,Andy Reiter,0.0,US,2012-04-11,US-2012-136987,Medium,OFF-PA-10003127,Staples,24.2696,2,West,53,Consumer,2012-04-14,Second Class,1.59,California,Paper,2012,North America,15,3,26,22,2,2,1,0,-1.59
Office Supplies,Los Angeles,United States,LH-171554,Logan Haushalter,0.0,US,2012-06-19,CA-2012-121965,Medium,OFF-PA-10004355,Xerox 231,3.1104,1,West,6,Consumer,2012-06-23,Standard Class,0.52,California,Paper,2012,North America,25,4,47,68,4,4,0,1,-0.52
Office Supplies,Los Angeles,United States,AR-105104,Andrew Roberts,0.0,US,2012-08-31,CA-2012-112319,High,OFF-PA-10003441,Xerox 226,27.9936,9,West,58,Consumer,2012-09-05,Standard Class,7.98,California,Paper,2012,North America,35,5,43,47,4,4,1,0,-7.98
Office Supplies,Los Angeles,United States,NG-184304,Nathan Gelder,0.0,US,2012-11-22,CA-2012-137708,High,OFF-PA-10000176,Xerox 1887,18.2112,2,West,38,Consumer,2012-11-25,Second Class,3.9,California,Paper,2012,North America,47,3,47,43,2,2,1,0,-3.9
Office Supplies,Los Angeles,United States,NG-184304,Nathan Gelder,0.0,US,2012-11-22,CA-2012-137708,High,OFF-PA-10000327,Xerox 1971,19.26,10,West,43,Consumer,2012-11-25,Second Class,6.15,California,Paper,2012,North America,47,3,47,43,2,2,1,0,-6.15
Office Supplies,Los Angeles,United States,DP-130004,Darren Powers,0.0,US,2012-11-24,CA-2012-105347,Medium,OFF-PA-10000675,Xerox 1919,180.7659,9,West,369,Consumer,2012-11-28,Standard Class,6.98,California,Paper,2012,North America,47,4,26,31,4,4,0,1,-6.98
Office Supplies,Los Angeles,United States,TS-213404,Toby Swindell,0.0,US,2012-11-24,CA-2012-153416,Medium,OFF-PA-10002005,Xerox 225,9.3312,3,West,19,Consumer,2012-11-29,Standard Class,1.68,California,Paper,2012,North America,47,5,41,31,4,4,1,0,-1.68
Office Supplies,Los Angeles,United States,KM-167204,Kunst Miller,0.0,US,2012-11-24,CA-2012-135545,Medium,OFF-PA-10003892,Xerox 1943,68.9631,3,West,147,Consumer,2012-11-30,Standard Class,4.93,California,Paper,2012,North America,47,6,54,31,4,4,1,0,-4.93
Office Supplies,Los Angeles,United States,AI-108554,Arianne Irving,0.0,US,2012-12-20,CA-2012-158918,Medium,OFF-PA-10004947,Staples,7.704,4,West,17,Consumer,2012-12-25,Second Class,1.31,California,Paper,2012,North America,51,5,38,62,2,2,1,0,-1.31
Office Supplies,Los Angeles,United States,CL-125654,Clay Ludtke,0.0,US,2012-12-30,CA-2012-135580,Medium,OFF-PA-10000595,Xerox 1929,31.5192,3,West,69,Consumer,2013-01-03,Standard Class,6.36,California,Paper,2012,North America,53,4,39,13,4,4,0,1,-6.36
Office Supplies,Los Angeles,United States,SW-202454,Scot Wooten,0.0,US,2013-03-13,US-2013-119270,Medium,OFF-PA-10004022,Hammermill Color Copier Paper (28Lb. and 96 Bright),8.991,2,West,20,Consumer,2013-03-17,Standard Class,1.3,California,Paper,2013,North America,11,4,39,53,4,4,0,1,-1.3
Office Supplies,Los Angeles,United States,CC-122204,Chris Cortes,0.0,US,2013-03-29,CA-2013-131380,Critical,OFF-PA-10001243,Xerox 1983,2.9302,1,West,6,Consumer,2013-04-01,Second Class,1.82,California,Paper,2013,North America,13,3,31,26,2,2,1,0,-1.82
Office Supplies,Los Angeles,United States,LC-171404,Logan Currie,0.0,US,2013-04-09,CA-2013-130477,High,OFF-PA-10002947,Xerox 1923,9.6192,3,West,20,Consumer,2013-04-13,Standard Class,2.92,California,Paper,2013,North America,15,4,36,42,4,4,0,1,-2.92
Office Supplies,Los Angeles,United States,LC-171404,Logan Currie,0.0,US,2013-04-09,CA-2013-130477,High,OFF-PA-10000019,Xerox 1931,6.2208,2,West,13,Consumer,2013-04-13,Standard Class,2.28,California,Paper,2013,North America,15,4,36,42,4,4,0,1,-2.28
Office Supplies,Los Angeles,United States,JF-152954,Jason Fortune-,0.0,US,2013-04-13,CA-2013-163594,Medium,OFF-PA-10000809,Xerox 206,9.3312,3,West,19,Consumer,2013-04-15,First Class,1.77,California,Paper,2013,North America,15,2,34,18,1,1,1,0,-1.77
Office Supplies,Los Angeles,United States,JO-152804,Jas O'Carroll,0.0,US,2013-04-20,US-2013-115819,Medium,OFF-PA-10002377,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",10.224,4,West,23,Consumer,2013-04-25,Second Class,3.87,California,Paper,2013,North America,16,5,22,33,2,2,1,0,-3.87
Office Supplies,Los Angeles,United States,TB-216254,Trudy Brown,0.0,US,2013-05-09,CA-2013-111696,High,OFF-PA-10002751,Xerox 1920,8.073,3,West,18,Consumer,2013-05-11,First Class,3.42,California,Paper,2013,North America,19,2,41,42,1,1,1,0,-3.42
Office Supplies,Los Angeles,United States,TT-210704,Ted Trevino,0.0,US,2013-05-12,CA-2013-162733,Medium,OFF-PA-10002751,Xerox 1920,2.691,1,West,6,Consumer,2013-05-13,First Class,0.41,California,Paper,2013,North America,20,1,32,8,1,1,0,1,-0.41
Office Supplies,Los Angeles,United States,DO-134354,Denny Ordway,0.0,US,2013-05-17,CA-2013-133144,Medium,OFF-PA-10004971,Xerox 196,8.4966,3,West,17,Consumer,2013-05-22,Second Class,1.82,California,Paper,2013,North America,20,5,24,45,2,2,1,0,-1.82
Office Supplies,Los Angeles,United States,LS-172454,Lynn Smith,0.0,US,2013-05-28,CA-2013-136994,Medium,OFF-PA-10000575,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",6.1548,2,West,13,Consumer,2013-06-03,Standard Class,0.88,California,Paper,2013,North America,22,6,25,48,4,4,1,0,-0.88
Office Supplies,Los Angeles,United States,CL-125654,Clay Ludtke,0.0,US,2013-05-29,CA-2013-134803,Low,OFF-PA-10003790,Xerox 1991,84.0512,8,West,183,Consumer,2013-06-04,Standard Class,17.93,California,Paper,2013,North America,22,6,40,40,4,4,1,0,-17.93
Office Supplies,Los Angeles,United States,OT-187304,Olvera Toch,0.0,US,2013-06-11,CA-2013-113243,Medium,OFF-PA-10003441,Xerox 226,15.552,5,West,32,Consumer,2013-06-16,Standard Class,1.91,California,Paper,2013,North America,24,5,71,72,4,4,1,0,-1.91
Office Supplies,Los Angeles,United States,BD-113204,Bill Donatelli,0.0,US,2013-06-17,CA-2013-148593,Medium,OFF-PA-10001776,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",21.7845,5,West,46,Consumer,2013-06-19,Second Class,1.14,California,Paper,2013,North America,25,2,57,76,2,2,0,1,-1.14
Office Supplies,Los Angeles,United States,MV-181904,Mike Vittorini,0.0,US,2013-06-18,CA-2013-123512,Critical,OFF-PA-10001497,Xerox 1914,107.7216,4,West,220,Consumer,2013-06-20,First Class,74.66,California,Paper,2013,North America,25,2,44,79,1,1,1,0,-74.66
Office Supplies,Los Angeles,United States,GT-147554,Guy Thornton,0.0,US,2013-07-04,CA-2013-130029,High,OFF-PA-10000552,Xerox 200,6.2208,2,West,13,Consumer,2013-07-07,First Class,1.62,California,Paper,2013,North America,27,3,30,22,1,1,1,0,-1.62
Office Supplies,Los Angeles,United States,CC-123704,Christopher Conant,0.0,US,2013-07-08,CA-2013-135265,Critical,OFF-PA-10002923,Xerox 1942,24.47,1,West,49,Consumer,2013-07-10,Second Class,10.36,California,Paper,2013,North America,28,2,20,49,2,2,0,1,-10.36
Office Supplies,Los Angeles,United States,JM-155804,Jill Matthias,0.0,US,2013-08-15,CA-2013-136021,High,OFF-PA-10000551,Array Memo Cubes,7.6146,3,West,16,Consumer,2013-08-19,Standard Class,2.15,California,Paper,2013,North America,33,4,61,63,4,4,0,1,-2.15
Office Supplies,Los Angeles,United States,BD-113204,Bill Donatelli,0.0,US,2013-08-16,CA-2013-167241,Low,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",18.0096,4,West,38,Consumer,2013-08-23,Standard Class,4.05,California,Paper,2013,North America,33,7,37,92,4,4,1,0,-4.05
Office Supplies,Los Angeles,United States,PS-187604,Pamela Stobb,0.0,US,2013-09-30,US-2013-101497,High,OFF-PA-10000176,Xerox 1887,9.1056,1,West,19,Consumer,2013-10-02,Second Class,1.89,California,Paper,2013,North America,40,2,66,62,2,2,0,1,-1.89
Office Supplies,Los Angeles,United States,CC-124754,Cindy Chapman,0.0,US,2013-10-08,CA-2013-155033,High,OFF-PA-10000143,Astroparche Fine Business Paper,5.0688,2,West,11,Consumer,2013-10-13,Standard Class,1.61,California,Paper,2013,North America,41,5,30,30,4,4,1,0,-1.61
Office Supplies,Los Angeles,United States,JE-157454,Joel Eaton,0.0,US,2013-10-09,US-2013-162026,Critical,OFF-PA-10000167,Xerox 1925,27.882,2,West,62,Consumer,2013-10-09,Same Day,3.0,California,Paper,2013,North America,41,0,32,38,0,0,0,1,-3.0
